School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
University of Notre Dame,South Bend,Indiana,Atlantic Coast Conference,D1,0.1899,1489.0,,,
University of Pittsburgh,Pittsburgh,Pennsylvania,Atlantic Coast Conference,D1,,,,,
Syracuse University,Syracuse,New York,Atlantic Coast Conference,D1,0.6872,,72780.0,-76.136975,43.040176
University of Virginia,Charlottesville,Virginia,Atlantic Coast Conference,D1,,,,,
Virginia Polytechnic Institute and State University,Blacksburg,Virginia,Atlantic Coast Conference,D1,0.6577,1280.0,27283.0,-80.423675,37.229012
Wake Forest University,Winston-Salem,North Carolina,Atlantic Coast Conference,D1,0.3198,,74135.0,-80.277446,36.133609
University of Akron,Akron,Ohio,Big East Conference,D1,,,,,
Butler University,Indianapolis,Indiana,Big East Conference,D1,0.7569,1265.0,61623.0,-86.172167,39.8374
Creighton University,Omaha,Nebraska,Big East Conference,D1,0.6402,,56120.0,-95.947811,41.265361
DePaul University,Chicago,Illinois,Big East Conference,D1,0.7024,,57122.0,-87.62724,41.877618
Georgetown University,Washington,D.C.,Big East Conference,D1,0.1681,1473.0,76280.0,-77.073463,38.908809
Marquette University,Milwaukee,Wisconsin,Big East Conference,D1,0.8249,1285.0,59725.0,-87.927961,43.03903
Providence College,Providence,Rhode Island,Big East Conference,D1,0.5386,1301.0,69407.0,-71.437446,41.842742
St. John's University,"Queens, New York City",New York,Big East Conference,D1,,,,,
Seton Hall University,South Orange,New Jersey,Big East Conference,D1,0.7823,1244.0,60646.0,-74.246027,40.742336
University of Connecticut,Storrs,Connecticut,Big East Conference,D1,0.6379,1222.0,33896.0,-72.249948,41.809098
Villanova University,Radnor Township,Pennsylvania,Big East Conference,D1,0.3066,1406.0,73042.0,-75.345457,40.039388
Xavier University,Cincinnati,Ohio,Big East Conference,D1,0.8122,1198.0,58260.0,-84.47465,39.149547
Campbell University,Buies Creek,North Carolina,Colonial Athletic Association,D1,0.8129,1115.0,51131.0,-78.738238,35.409149
Gardner–Webb University,Boiling Springs,North Carolina,Big South Conference,D1,0.7795,1074.0,45333.0,-81.668141,35.24732
High Point University,High Point,North Carolina,Big South Conference,D1,0.7705,1182.0,54296.0,-79.994675,35.972035
Longwood University,Farmville,Virginia,Big South Conference,D1,0.8734,1052.0,28821.0,-78.39575,37.301137
Presbyterian College,Clinton,South Carolina,Big South Conference,D1,0.7083,1123.0,53720.0,-81.87448,34.465834
Radford University,Radford,Virginia,Big South Conference,D1,0.7868,,24234.0,-80.549728,37.136907
University of North Carolina at Asheville,Asheville,North Carolina,Big South Conference,D1,0.7942,1185.0,20127.0,-82.565392,35.617068
University of South Carolina Upstate,Spartanburg,South Carolina,Big South Conference,D1,0.5954,1005.0,23660.0,-81.970583,34.996403
Winthrop University,Rock Hill,South Carolina,Big South Conference,D1,0.6394,1072.0,29266.0,-81.031404,34.941515
Indiana University Bloomington,Bloomington,Indiana,Big Ten Conference,D1,0.8038,1261.0,25587.0,-86.526559,39.16609
"University of Maryland, College Park",College Park,Maryland,Big Ten Conference,D1,0.5096,1391.0,27343.0,-76.944721,38.988178
University of Michigan,Ann Arbor,Michigan,Big Ten Conference,D1,,,,,
Michigan State University,East Lansing,Michigan,Big Ten Conference,D1,0.7631,1216.0,28626.0,-84.476111,42.73212
Northwestern University,Evanston,Illinois,Big Ten Conference,D1,0.0931,1505.0,78654.0,-87.679858,42.050356
Ohio State University,Columbus,Ohio,Big Ten Conference,D1,,,,,
