School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
University of Rochester,Rochester,New York,University Athletic Association,D3,0.3543,1429,75190,-77.631202,43.126397
Rochester Institute of Technology,Rochester,New York,Liberty League,D3,0.7386,1341,61063,-77.67386,43.084188
Roger Williams University,Bristol,Rhode Island,Commonwealth Coast Conference,D3,0.8601,,54865,-71.260374,41.650214
Russell Sage College,Albany & Troy,New York,Empire 8,D3,0.7431,,46287,-73.693711,42.72822
St. John Fisher College,Pittsford,New York,Empire 8,D3,,,,,
St. Joseph's College,Brooklyn,New York,Skyline Conference,D3,,,,,
St. Joseph's College,Long Island,New York,Skyline Conference,D3,,,,,
Saint Joseph's College of Maine,Standish,Maine,Great Northeast Athletic Conference,D3,0.8673,1081,52614,-70.483373,43.826314
St. Lawrence University,Canton,New York,Liberty League,D3,0.4726,1301,73045,-75.161343,44.589879
Salem State University,Salem,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,0.8675,,26423,-70.890234,42.503575
Salve Regina University,Newport,Rhode Island,Commonwealth Coast Conference(New England Women's and Men's Athletic Conference in 2023),D3,0.7462,,61072,-71.30124,41.471545
Sarah Lawrence College,Yonkers,New York,Skyline Conference,D3,0.5463,1333,74123,-73.843727,40.9355
Simmons University,Boston,Massachusetts,Great Northeast Athletic Conference,D3,0.8255,1168,60221,-71.099967,42.3393
Skidmore College,Saratoga Springs,New York,Liberty League,D3,0.3217,1324,74140,-73.785335,43.097035
Smith College,Northampton,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.3652,,75169,-72.638097,42.318111
University of Southern Maine,Portland,Maine,Little East Conference,D3,0.8793,1062,19582,-70.274247,43.662863
Springfield College,Springfield,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.6341,1239,55078,-72.556751,42.101576
Suffolk University,Boston,Massachusetts,Commonwealth Coast Conference,D3,0.859,1113,57850,-71.060917,42.357945
Thomas College,Waterville,Maine,North Atlantic Conference,D3,,,40911,-69.664734,44.524909
Tufts University,Medford,Massachusetts,New England Small College Athletic Conference,D3,0.163,1474,76151,-71.118293,42.40855
Union College,Schenectady,New York,Liberty League,D3,0.5733,1035,39439,-83.888477,36.870875
Union College,Schenectady,New York,Liberty League,D3,0.976,1072,36243,-96.651095,40.774778
Union College,Schenectady,New York,Liberty League,D3,0.4126,1339,69879,-73.928788,42.818097
United States Merchant Marine Academy,Kings Point,New York,Skyline Conference,D3,0.2411,1288,9565,-73.763004,40.81357
Utica University,Utica,New York,Empire 8,D3,0.8641,,34427,-75.272916,43.096213
Vassar College,Poughkeepsie,New York,Liberty League,D3,0.2454,1456,75203,-73.895088,41.686895
Wellesley College,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.2041,1446,75198,-71.306605,42.291554
Wells College,Aurora,New York,United East Conference(Allegheny Mountain Collegiate Conference in 2023),D3,0.6436,,46640,-76.696028,42.742943
Wentworth Institute of Technology,Boston,Massachusetts,Commonwealth Coast Conference,D3,0.9354,1192,52232,-71.094983,42.336632
Western New England University,Springfield,Massachusetts,Commonwealth Coast Conference,D3,0.8943,,52924,-72.520466,42.115017
Westfield State University,Westfield,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,0.9244,1054,24844,-72.796503,42.132698
Wheaton College,Norton,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.8695,1336,50923,-88.099643,41.870176
William Smith College,Geneva,New York,Liberty League,D3,0.6184,1279,74375,-76.985516,42.858131
Williams College,Williamstown,Massachusetts,New England Small College Athletic Conference,D3,0.1512,,75520,-73.203132,42.712725
Worcester Polytechnic Institute,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.5905,,69233,-71.808339,42.274853
Worcester State University,Worcester,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,0.8103,1097,21870,-71.844018,42.267526
Yeshiva University,New York,New York,Skyline Conference,D3,0.6741,1288,64050,-73.929873,40.850605
"York College, City University of New York",Queens,New York,City University of New York Athletic Conference,D3,,,,,
