School,City,State,Conference,Division,WikidataID,Score,School_doe,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Score_doe
Loyola University Chicago,Chicago,Illinois,Atlantic 10 Conference,D1,Q1537759,100.0,Loyola University Chicago,171000.0,0.7054,1261.0,60717.0,-87.656872,42.000765,100.0
University of Massachusetts Amherst,Amherst,Massachusetts,Atlantic 10 Conference,D1,Q15142,100.0,University of Massachusetts-Amherst,222100.0,0.6532,1307.0,31749.0,-72.526728,42.385999,100.0
University of Rhode Island,Kingston,Rhode Island,Atlantic 10 Conference,D1,Q1641788,100.0,University of Rhode Island,341400.0,0.7551,1183.0,30339.0,-71.527356,41.484691,100.0
St. Bonaventure University,Allegany,New York,Atlantic 10 Conference,D1,Q93662,100.0,St Bonaventure University,281700.0,0.7631,1151.0,50646.0,-78.481107,42.080191,100.0
Saint Joseph's University,Philadelphia,Pennsylvania,Atlantic 10 Conference,D1,Q1475413,100.0,Saint Joseph's University,336700.0,0.8007,1205.0,63223.0,-75.238343,39.994442,100.0
Saint Louis University,St. Louis,Missouri,Atlantic 10 Conference,D1,Q734774,100.0,Saint Louis University,250600.0,0.5554,1299.0,61975.0,-90.2351,38.636801,100.0
Virginia Commonwealth University,Richmond,Virginia,Atlantic 10 Conference,D1,Q2303536,100.0,Virginia Commonwealth University,373500.0,0.906,1163.0,31983.0,-77.452697,37.54962,100.0
Boston College,Chestnut Hill,Massachusetts,Atlantic Coast Conference,D1,Q49118,100.0,Boston College,212800.0,0.2638,1433.0,75872.0,-71.169242,42.336213,100.0
Boston College,Chestnut Hill,Massachusetts,Atlantic Coast Conference,D1,Q49118,100.0,Chestnut Hill College,324500.0,0.7114,995.0,54599.0,-75.228742,40.08678,63.0
Clemson University,Clemson,South Carolina,Atlantic Coast Conference,D1,Q631066,100.0,Clemson University,342500.0,0.6194,1327.0,32254.0,-82.835114,34.679381,100.0
Duke University,Durham,North Carolina,Atlantic Coast Conference,D1,Q168751,100.0,Duke University,292000.0,0.0774,1530.0,77846.0,-78.937624,36.001135,100.0
University of Louisville,Louisville,Kentucky,Atlantic Coast Conference,D1,Q1317143,100.0,University of Louisville,199900.0,0.6512,1198.0,28247.0,-85.760412,38.216862,100.0
University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,Atlantic Coast Conference,D1,Q192334,100.0,University of North Carolina at Chapel Hill,297400.0,0.25,1393.0,24220.0,-79.050969,35.911769,100.0
North Carolina State University,Raleigh,North Carolina,Atlantic Coast Conference,D1,Q1132346,100.0,North Carolina State University at Raleigh,297200.0,0.4622,1343.0,24202.0,-78.674517,35.785111,100.0
University of Notre Dame,South Bend,Indiana,Atlantic Coast Conference,D1,Q178848,100.0,Indiana University-South Bend,181600.0,0.8687,1039.0,16667.0,-86.221991,41.665324,78.0
University of Notre Dame,South Bend,Indiana,Atlantic Coast Conference,D1,Q178848,100.0,University of Notre Dame,184000.0,0.1899,1489.0,74172.0,-86.238959,41.703058,100.0
University of Notre Dame,South Bend,Indiana,Atlantic Coast Conference,D1,Q178848,100.0,University of Notre Dame -,184001.0,0.1899,1489.0,,,,100.0
University of Pittsburgh,Pittsburgh,Pennsylvania,Atlantic Coast Conference,D1,Q235034,100.0,University of Pittsburgh-Pittsburgh Campus,337900.0,0.6818,1290.0,33964.0,-79.953254,40.444388,75.0
Syracuse University,Syracuse,New York,Atlantic Coast Conference,D1,Q617433,100.0,Syracuse University,288200.0,0.6872,,72780.0,-76.136975,43.040176,100.0
University of Virginia,Charlottesville,Virginia,Atlantic Coast Conference,D1,Q213439,100.0,,,,,,,,
Virginia Polytechnic Institute and State University,Blacksburg,Virginia,Atlantic Coast Conference,D1,Q65379,100.0,Virginia Polytechnic Institute and State University,375400.0,0.6577,1280.0,27283.0,-80.423675,37.229012,100.0
Virginia Polytechnic Institute and State University,Blacksburg,Virginia,Atlantic Coast Conference,D1,Q65379,100.0,University of Virginia-Main Campus,374500.0,0.2258,1426.0,34094.0,-78.503428,38.035665,72.0
Wake Forest University,Winston-Salem,North Carolina,Atlantic Coast Conference,D1,Q392667,100.0,Wake Forest University,297800.0,0.3198,,74135.0,-80.277446,36.133609,100.0
University of Akron,Akron,Ohio,Big East Conference,D1,Q1346135,100.0,,,,,,,,
Butler University,Indianapolis,Indiana,Big East Conference,D1,Q1017974,100.0,Butler University,178800.0,0.7569,1265.0,61623.0,-86.172167,39.8374,100.0
Creighton University,Omaha,Nebraska,Big East Conference,D1,Q770544,100.0,Creighton University,254200.0,0.6402,,56120.0,-95.947811,41.265361,100.0
DePaul University,Chicago,Illinois,Big East Conference,D1,Q1179603,100.0,DePaul University,167100.0,0.7024,,57122.0,-87.62724,41.877618,100.0
Georgetown University,Washington,D.C.,Big East Conference,D1,Q333886,100.0,Georgetown University,144500.0,0.1681,1473.0,76280.0,-77.073463,38.908809,100.0
Georgetown University,Washington,D.C.,Big East Conference,D1,Q333886,100.0,Georgetown College,196400.0,0.7216,,53196.0,-84.553767,38.207615,100.0
Marquette University,Milwaukee,Wisconsin,Big East Conference,D1,Q188370,100.0,Marquette University,386300.0,0.8249,1285.0,59725.0,-87.927961,43.03903,100.0
Providence College,Providence,Rhode Island,Big East Conference,D1,Q1439629,100.0,Providence College,340600.0,0.5386,1301.0,69407.0,-71.437446,41.842742,100.0
St. John's University,"Queens, New York City",New York,Big East Conference,D1,Q1138374,100.0,Saint Johns University,237900.0,0.8138,1193.0,59972.0,-94.393621,45.580075,98.0
St. John's University,"Queens, New York City",New York,Big East Conference,D1,Q1138374,100.0,St. John's University-New York,282300.0,0.7507,1198.0,55877.0,-73.796104,40.722523,100.0
St. John's University,"Queens, New York City",New York,Big East Conference,D1,Q1138374,100.0,United States University,4005300.0,,,20187.0,-117.154904,32.7769,64.0
Seton Hall University,South Orange,New Jersey,Big East Conference,D1,Q585828,100.0,Seton Hall University,263200.0,0.7823,1244.0,60646.0,-74.246027,40.742336,100.0
University of Connecticut,Storrs,Connecticut,Big East Conference,D1,Q49206,100.0,University of Connecticut,141700.0,0.6379,1222.0,33896.0,-72.249948,41.809098,100.0
University of Connecticut,Storrs,Connecticut,Big East Conference,D1,Q49206,100.0,University of Connecticut-Stamford,141702.0,0.6379,1222.0,25497.0,-73.542206,41.056081,85.0
Villanova University,Radnor Township,Pennsylvania,Big East Conference,D1,Q1466001,100.0,Villanova University,338800.0,0.3066,1406.0,73042.0,-75.345457,40.039388,100.0
Xavier University,Cincinnati,Ohio,Big East Conference,D1,Q43337,100.0,Xavier University,314400.0,0.8122,1198.0,58260.0,-84.47465,39.149547,100.0
Campbell University,Buies Creek,North Carolina,Colonial Athletic Association,D1,Q904219,100.0,Campbell University,291300.0,0.8129,1115.0,51131.0,-78.738238,35.409149,100.0
Gardner–Webb University,Boiling Springs,North Carolina,Big South Conference,D1,Q3551409,100.0,Gardner-Webb University,292900.0,0.7795,1074.0,45333.0,-81.668141,35.24732,100.0
High Point University,High Point,North Carolina,Big South Conference,D1,Q5756235,100.0,Point University,154700.0,0.3487,1007.0,34160.0,-85.184931,32.87912,86.0
High Point University,High Point,North Carolina,Big South Conference,D1,Q5756235,100.0,High Point University,293300.0,0.7705,1182.0,54296.0,-79.994675,35.972035,100.0
Longwood University,Farmville,Virginia,Big South Conference,D1,Q3551429,100.0,Longwood University,371900.0,0.8734,1052.0,28821.0,-78.39575,37.301137,100.0
Presbyterian College,Clinton,South Carolina,Big South Conference,D1,Q7240787,85.0,Presbyterian College,344500.0,0.7083,1123.0,53720.0,-81.87448,34.465834,85.0
Radford University,Radford,Virginia,Big South Conference,D1,Q632465,100.0,Radford University,373200.0,0.7868,,24234.0,-80.549728,37.136907,100.0
