School,City,State,Conference,Division,StateCode,DOESchool,DOECity,DOEStateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Lev
Gardner–Webb University,Boiling Springs,North Carolina,Big South Conference,D1,NC,Gardner-Webb University,Boiling Springs,NC,00292900,0.7795,1074.0,45333.0,-81.668141,35.24732,1
High Point University,High Point,North Carolina,Big South Conference,D1,NC,High Point University,High Point,NC,00293300,0.7705,1182.0,54296.0,-79.994675,35.972035,0
Longwood University,Farmville,Virginia,Big South Conference,D1,VA,Longwood University,Farmville,VA,00371900,0.8734,1052.0,28821.0,-78.39575,37.301137,0
Presbyterian College,Clinton,South Carolina,Big South Conference,D1,SC,Presbyterian College,Clinton,SC,00344500,0.7083,1123.0,53720.0,-81.87448,34.465834,0
Radford University,Radford,Virginia,Big South Conference,D1,VA,Radford University,Radford,VA,00373200,0.7868,,24234.0,-80.549728,37.136907,0
University of North Carolina at Asheville,Asheville,North Carolina,Big South Conference,D1,NC,University of North Carolina at Asheville,Asheville,NC,00290700,0.7942,1185.0,20127.0,-82.565392,35.617068,0
University of South Carolina Upstate,Spartanburg,South Carolina,Big South Conference,D1,SC,University of South Carolina-Upstate,Spartanburg,SC,00695100,0.5954,1005.0,23660.0,-81.970583,34.996403,0
Winthrop University,Rock Hill,South Carolina,Big South Conference,D1,SC,Winthrop University,Rock Hill,SC,00345600,0.6394,1072.0,29266.0,-81.031404,34.941515,0
Indiana University Bloomington,Bloomington,Indiana,Big Ten Conference,D1,IN,Indiana University-Bloomington,Bloomington,IN,00180900,0.8038,1261.0,25587.0,-86.526559,39.16609,0
"University of Maryland, College Park",College Park,Maryland,Big Ten Conference,D1,MD,University of Maryland-College Park,College Park,MD,00210300,0.5096,1391.0,27343.0,-76.944721,38.988178,0
Michigan State University,East Lansing,Michigan,Big Ten Conference,D1,MI,Michigan State University,East Lansing,MI,00229000,0.7631,1216.0,28626.0,-84.476111,42.73212,0
Northwestern University,Evanston,Illinois,Big Ten Conference,D1,IL,Northwestern College,Bridgeview,IL,01236200,0.8065,,30021.0,-87.797406,41.751724,0
Ohio State University,Columbus,Ohio,Big Ten Conference,D1,OH,Ohio State University-Main Campus,Columbus,OH,00309000,0.6849,1337.0,27202.0,-83.014853,39.999324,0
Pennsylvania State University,State College,Pennsylvania,Big Ten Conference,D1,PA,The Pennsylvania State University,University Park,PA,00332900,0.7827,1198.0,33960.0,-77.862848,40.7965,0
Rutgers University–New Brunswick,New Brunswick,New Jersey,Big Ten Conference,D1,NJ,Rutgers University-New Brunswick,New Brunswick,NJ,00262900,0.6986,1253.0,32022.0,-74.446251,40.498769,1
University of Wisconsin–Madison,Madison,Wisconsin,Big Ten Conference,D1,WI,University of Wisconsin-Madison,Madison,WI,00389500,0.5725,1364.0,26393.0,-89.404098,43.075409,1
"California State University, Bakersfield",Bakersfield,California,Big West Conference,D1,CA,California State University-Bakersfield,Bakersfield,CA,00799300,0.7838,,18661.0,-119.104711,35.350005,0
"California State University, Fullerton",Fullerton,California,Big West Conference,D1,CA,California State University-Fullerton,Fullerton,CA,00113700,0.6762,1085.0,17791.0,-117.885446,33.881506,0
"California State University, Northridge","Northridge, Los Angeles",California,Big West Conference,D1,CA,California State University-Northridge,Northridge,CA,00115300,0.6581,1006.0,19794.0,-118.529319,34.240126,0
"California State University, Sacramento",Sacramento,California,Big West Conference,D1,CA,California State University-Sacramento,Sacramento,CA,00115000,0.8309,1033.0,21576.0,-121.423549,38.559415,0
"University of California, Davis",Davis,California,Big West Conference,D1,CA,University of California-Davis,Davis,CA,00131300,0.4635,1299.0,35532.0,-121.749567,38.539667,0
"University of California, Irvine",Irvine,California,Big West Conference,D1,CA,University of California-Irvine,Irvine,CA,00131400,0.2992,1339.0,34355.0,-117.841248,33.648434,0
"University of California, Riverside",Riverside,California,Big West Conference,D1,CA,University of California-Riverside,Riverside,CA,00131600,0.6578,1200.0,30561.0,-117.32741,33.97246,0
"University of California, San Diego","La Jolla, San Diego",California,Big West Conference,D1,CA,California College San Diego,San Diego,CA,02110800,,,30080.0,-117.166966,32.835221,0
"University of California, Santa Barbara",Santa Barbara,California,Big West Conference,D1,CA,University of California-Santa Barbara,Santa Barbara,CA,00132000,0.367,1369.0,36492.0,-119.846426,34.416297,0
College of Charleston,Charleston,South Carolina,Colonial Athletic Association,D1,SC,College of Charleston,Charleston,SC,00342800,0.7432,1175.0,29545.0,-79.939794,32.784225,0
University of Delaware,Newark,Delaware,Colonial Athletic Association,D1,DE,University of Delaware,Newark,DE,00143100,0.6599,1254.0,28708.0,-75.752822,39.679577,0
Drexel University,Philadelphia,Pennsylvania,Colonial Athletic Association,D1,PA,Drexel University,Philadelphia,PA,00325600,0.7719,1287.0,69397.0,-75.190051,39.955217,0
Elon University,Elon,North Carolina,Colonial Athletic Association,D1,NC,Elon University,Elon,NC,00292700,0.717,1258.0,52587.0,-79.50344,36.104148,0
Hofstra University,Hempstead,New York,Colonial Athletic Association,D1,NY,Hofstra University,Hempstead,NY,00273200,0.6911,,62917.0,-73.60078,40.715959,0
Monmouth University,West Long Branch,New Jersey,Colonial Athletic Association,D1,NJ,Monmouth University,West Long Branch,NJ,00261600,0.7893,1130.0,55898.0,-74.006447,40.280066,0
Northeastern University,Boston,Massachusetts,Colonial Athletic Association,D1,MA,Northeastern University,Boston,MA,00219900,0.2048,1492.0,73196.0,-71.088782,42.339992,0
Stony Brook University,Stony Brook,New York,Colonial Athletic Association,D1,NY,Stony Brook University,Stony Brook,NY,00283800,0.4891,1337.0,26270.0,-73.12046,40.91476,0
University of North Carolina Wilmington,Wilmington,North Carolina,Colonial Athletic Association,D1,NC,University of North Carolina Wilmington,Wilmington,NC,00298400,0.6797,1226.0,24837.0,-77.875527,34.225223,0
College of William & Mary,Williamsburg,Virginia,Colonial Athletic Association,D1,VA,William & Mary,Williamsburg,VA,00370500,0.4216,1411.0,39595.0,-76.708214,37.269489,0
Cleveland State University,Cleveland,Ohio,Horizon League,D1,OH,Cleveland State University,Cleveland,OH,00303200,0.936,1088.0,24010.0,-81.674355,41.502281,0
University of Detroit Mercy,Detroit,Michigan,Horizon League,D1,MI,University of Detroit Mercy,Detroit,MI,00232300,0.795,1165.0,38440.0,-83.139158,42.414222,0
University of Wisconsin–Green Bay,Green Bay,Wisconsin,Horizon League,D1,WI,University of Wisconsin-Green Bay,Green Bay,WI,00389900,0.8982,1085.0,17509.0,-87.919973,44.532298,1
Indiana University – Purdue University Indianapolis,Indianapolis,Indiana,Horizon League,D1,IN,Indiana University-Purdue University-Indianapolis,Indianapolis,IN,00181300,0.7854,1102.0,21127.0,-86.172217,39.772948,1
University of Wisconsin–Milwaukee,Milwaukee,Wisconsin,Horizon League,D1,WI,University of Wisconsin-Milwaukee,Milwaukee,WI,00389600,0.787,1105.0,21984.0,-87.880488,43.076848,1
Northern Kentucky University,Highland Heights,Kentucky,Horizon League,D1,KY,Northern Kentucky University,Highland Heights,KY,00927500,0.8703,1144.0,17869.0,-84.463483,39.029714,0
Oakland University,Auburn Hills & Rochester Hills,Michigan,Horizon League,D1,MI,Oakland University,Rochester Hills,MI,00230700,0.811,1110.0,23778.0,-83.216418,42.674573,0
Purdue University Fort Wayne,Fort Wayne,Indiana,Horizon League,D1,IN,Purdue University Fort Wayne,Fort Wayne,IN,00182800,0.8278,1090.0,19224.0,-85.108962,41.117278,0
Robert Morris University,Moon Township,Pennsylvania,Horizon League,D1,PA,Robert Morris University,Moon Township,PA,00335900,0.8563,1140.0,47724.0,-80.210468,40.520415,0
Wright State University,Fairborn,Ohio,Horizon League,D1,OH,Wright State University-Main Campus,Dayton,OH,00307800,0.9599,1096.0,23009.0,-84.064881,39.780634,0
Chicago State University,Chicago,Illinois,Independent,D1,IL,Chicago State University,Chicago,IL,00169400,0.4642,887.0,21867.0,-87.609384,41.718446,0
University of the Incarnate Word,San Antonio & Alamo Heights,Texas,Independent,D1,TX,University of the Incarnate Word,San Antonio,TX,00357800,0.9656,1046.0,45532.0,-98.46583,29.46708,0
Brown University,Providence,Rhode Island,Ivy League,D1,RI,Brown University,Providence,RI,00340100,0.0767,1508.0,77490.0,-71.40385,41.82617,0
Cornell University,Ithaca,New York,Ivy League,D1,NY,Cornell University,Ithaca,NY,00271100,0.1071,1480.0,75204.0,-76.483084,42.4472,0
Dartmouth College,Hanover,New Hampshire,Ivy League,D1,NH,Dartmouth College,Hanover,NH,00257300,0.0922,1500.0,77152.0,-72.289949,43.704115,0
Harvard University,Boston,Massachusetts,Ivy League,D1,MA,Harvard University,Cambridge,MA,00215500,0.0501,1520.0,75914.0,-71.118313,42.374471,0
Princeton University,Princeton,New Jersey,Ivy League,D1,NJ,Princeton University,Princeton,NJ,00262700,0.0563,1506.0,74150.0,-74.659365,40.348732,0
University of Pennsylvania,Philadelphia,Pennsylvania,Ivy League,D1,PA,University of Pennsylvania,Philadelphia,PA,00337800,0.0898,1517.0,78186.0,-75.19391,39.950929,0
Yale University,New Haven,Connecticut,Ivy League,D1,CT,Yale University,New Haven,CT,00142600,0.0653,1520.0,76645.0,-72.926688,41.311158,0
Canisius College,Buffalo,New York,Metro Atlantic Athletic Conference,D1,NY,Canisius College,Buffalo,NY,00268100,0.7602,1152.0,39217.0,-78.852577,42.925206,0
Fairfield University,Fairfield,Connecticut,Metro Atlantic Athletic Conference,D1,CT,Fairfield University,Fairfield,CT,00138500,0.5613,1281.0,67080.0,-73.255903,41.157673,0
Iona University,New Rochelle,New York,Metro Atlantic Athletic Conference,D1,NY,Iona College,New Rochelle,NY,00273700,0.8595,1107.0,54052.0,-73.788046,40.925725,0
Manhattan College,"The Bronx, New York City",New York,Metro Atlantic Athletic Conference,D1,NY,Manhattan College,Riverdale,NY,00275800,0.7765,,57992.0,-73.901893,40.889756,0
Marist College,Poughkeepsie,New York,Metro Atlantic Athletic Conference,D1,NY,Marist College,Poughkeepsie,NY,00276500,0.5505,,60670.0,-73.935484,41.720937,0
Mount St. Mary's University,Emmitsburg,Maryland,Metro Atlantic Athletic Conference,D1,MD,Mount St. Mary's University,Emmitsburg,MD,00208600,0.8045,1082.0,57867.0,-77.351887,39.681705,0
Niagara University,Lewiston,New York,Metro Atlantic Athletic Conference,D1,NY,Niagara University,Niagara University,NY,00278800,0.9241,1118.0,47384.0,-79.036689,43.137279,0
Quinnipiac University,Hamden,Connecticut,Metro Atlantic Athletic Conference,D1,CT,Quinnipiac University,Hamden,CT,00140200,0.8239,,66237.0,-72.894117,41.418915,0
Rider University,Lawrenceville,New Jersey,Metro Atlantic Athletic Conference,D1,NJ,Rider University,Lawrenceville,NJ,00262800,0.7566,1124.0,61693.0,-74.737833,40.278796,0
Saint Peter's University,Jersey City,New Jersey,Metro Atlantic Athletic Conference,D1,NJ,Saint Peter's University,Jersey City,NJ,00263800,0.8464,,47570.0,-74.071541,40.727105,0
Siena College,Loudonville,New York,Metro Atlantic Athletic Conference,D1,NY,Siena College,Loudonville,NY,00281600,0.8066,,58200.0,-73.7526,42.717602,0
Belmont University,Nashville,Tennessee,Missouri Valley Conference,D1,TN,Belmont University,Nashville,TN,00347900,0.8323,1244.0,54595.0,-86.794807,36.135589,0
Bowling Green State University,Bowling Green,Ohio,Missouri Valley Conference,D1,OH,Bowling Green State University-Main Campus,Bowling Green,OH,00301800,0.753,1142.0,24529.0,-83.640896,41.375513,0
Bradley University,Peoria,Illinois,Missouri Valley Conference,D1,IL,Bradley University,Peoria,IL,00164100,0.7328,1196.0,48295.0,-89.616786,40.696896,0
Drake University,Des Moines,Iowa,Missouri Valley Conference,D1,IA,Drake University,Des Moines,IA,00186000,0.6792,1254.0,57643.0,-93.652163,41.60129,0
University of Evansville,Evansville,Indiana,Missouri Valley Conference,D1,IN,University of Evansville,Evansville,IN,00179500,0.643,,50986.0,-87.531644,37.971549,0
Northern Illinois University,DeKalb,Illinois,Missouri Valley Conference,D1,IL,Northern Illinois University,Dekalb,IL,00173700,0.5925,,26312.0,-88.766428,41.933869,0
Southern Illinois University Edwardsville,Edwardsville,Illinois,Missouri Valley Conference,D1,IL,Southern Illinois University-Edwardsville,Edwardsville,IL,00175900,0.8505,1154.0,24244.0,-89.997779,38.793949,0
University of Illinois Chicago,Chicago,Illinois,Missouri Valley Conference,D1,IL,University of Illinois Chicago,Chicago,IL,00177600,0.7263,1159.0,25831.0,-87.650503,41.871837,0
Western Michigan University,Kalamazoo,Michigan,Missouri Valley Conference,D1,MI,Western Michigan University,Kalamazoo,MI,00233000,0.8494,1129.0,26567.0,-85.613759,42.282194,0
Central Connecticut State University,New Britain,Connecticut,Northeast Conference,D1,CT,Central Connecticut State University,New Britain,CT,00137800,0.6485,1062.0,22518.0,-72.765991,41.692502,0
Howard University,Washington,District of Columbia,Northeast Conference,D1,DC,Howard University,Washington,DC,00144800,0.3864,1192.0,45971.0,-77.018966,38.922392,0
Long Island University,Brookville,New York,Northeast Conference,D1,NY,Long Island University,Brookville,NY,00275100,0.8501,1194.0,50591.0,-73.593678,40.820714,0
Merrimack College,North Andover,Massachusetts,Northeast Conference,D1,MA,Merrimack College,North Andover,MA,00212000,0.8164,,59617.0,-71.124216,42.668344,0
Sacred Heart University,Fairfield,Connecticut,Northeast Conference,D1,CT,Sacred Heart University,Fairfield,CT,00140300,0.6553,,61591.0,-73.243332,41.220893,0
St. Francis College,"Brooklyn, New York City",New York,Northeast Conference,D1,NY,St. Francis College,Brooklyn Heights,NY,00282000,0.8452,964.0,32776.0,-73.992164,40.693228,0
Saint Francis University,Loretto,Pennsylvania,Northeast Conference,D1,PA,Saint Francis University,Loretto,PA,00336600,0.5935,1134.0,54101.0,-78.63904,40.506734,0
Stonehill College,Easton,Massachusetts,Northeast Conference,D1,MA,Stonehill College,Easton,MA,00221700,0.6896,,62253.0,-71.080632,42.05905,0
"University of California, Berkeley",Berkeley,California,Pac-12 Conference,D1,CA,University of California-Berkeley,Berkeley,CA,00131200,0.1748,1437.0,39016.0,-122.260463,37.871918,0
Oregon State University,Corvallis,Oregon,Pac-12 Conference,D1,OR,Oregon State University,Corvallis,OR,00321000,0.8173,1201.0,27595.0,-123.274723,44.56395,0
San Diego State University,San Diego,California,Pac-12 Conference,D1,CA,San Diego State University,San Diego,CA,00115100,0.367,1207.0,23367.0,-117.071228,32.77525,0
Stanford University,Stanford,California,Pac-12 Conference,D1,CA,Stanford University,Stanford,CA,00130500,0.0519,1491.0,74570.0,-122.167359,37.429434,0
"University of California, Los Angeles",Los Angeles,California,Pac-12 Conference,D1,CA,University of California-Los Angeles,Los Angeles,CA,00131500,0.1433,,35497.0,-118.442179,34.07178,0
American University,Washington,District of Columbia,Patriot League,D1,DC,American University,Washington,DC,00143400,0.3865,1328.0,66416.0,-77.088875,38.936005,0
United States Military Academy,West Point,New York,Patriot League,D1,NY,United States Military Academy,West  Point,NY,00289300,0.0864,1359.0,,-73.956603,41.390479,0
Boston University,Boston,Massachusetts,Patriot League,D1,MA,Boston College,Chestnut Hill,MA,00212800,0.2638,1433.0,75872.0,-71.169242,42.336213,0
Bucknell University,Lewisburg,Pennsylvania,Patriot League,D1,PA,Bucknell University,Lewisburg,PA,00323800,0.3753,1353.0,75400.0,-76.882616,40.954317,0
Colgate University,Hamilton,New York,Patriot League,D1,NY,Colgate University,Hamilton,NY,00270100,0.2747,1404.0,75000.0,-75.536346,42.819475,0
College of the Holy Cross,Worcester,Massachusetts,Patriot League,D1,MA,College of the Holy Cross,Worcester,MA,00214100,0.3794,1371.0,71448.0,-71.808214,42.23752,0
Lafayette College,Easton,Pennsylvania,Patriot League,D1,PA,Lafayette College,Easton,PA,00328400,0.3557,1360.0,74016.0,-75.209786,40.69956,0
Lehigh University,Bethlehem,Pennsylvania,Patriot League,D1,PA,Lehigh University,Bethlehem,PA,00328900,0.4954,1366.0,71310.0,-75.380236,40.606822,0
Loyola University Maryland,Baltimore,Maryland,Patriot League,D1,MD,Loyola University Maryland,Baltimore,MD,00207800,0.8024,,67196.0,-76.621872,39.346358,0
United States Naval Academy,Annapolis,Maryland,Patriot League,D1,MD,United States Naval Academy,Annapolis,MD,00210100,0.0908,1367.0,,-76.481692,38.980507,0
East Tennessee State University,Johnson City,Tennessee,Southern Conference,D1,TN,East Tennessee State University,Johnson City,TN,00348700,0.7838,1167.0,22323.0,-82.366954,36.301643,0
Furman University,Greenville,South Carolina,Southern Conference,D1,SC,Furman University,Greenville,SC,00343400,0.6525,1356.0,67299.0,-82.440458,34.924676,0
Mercer University,Macon,Georgia,Southern Conference,D1,GA,Mercer University,Macon,GA,00158000,0.7816,1285.0,52940.0,-83.648295,32.831787,0
University of North Carolina at Greensboro,Greensboro,North Carolina,Southern Conference,D1,NC,University of North Carolina at Greensboro,Greensboro,NC,00297600,0.8754,1093.0,19179.0,-79.809414,36.068236,0
Virginia Military Institute,Lexington,Virginia,Southern Conference,D1,VA,Virginia Military Institute,Lexington,VA,00375300,0.5988,1180.0,32420.0,-79.437067,37.7896,0
Wofford College,Spartanburg,South Carolina,Southern Conference,D1,SC,Wofford College,Spartanburg,SC,00345700,0.53,,62262.0,-81.933568,34.959411,0
University of Denver,Denver,Colorado,The Summit League,D1,CO,University of Denver,Denver,CO,00137100,0.6067,1296.0,69469.0,-104.963259,39.678005,0
