School,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,WikidataID,Score
El Camino Community College District,119700.0,,,18895.0,-118.329913,33.885229,,
Feather River Community College District,859700.0,,,17336.0,-120.973067,39.953101,,
Federico Beauty Institute,725300.0,,,,-121.497761,38.64883,,
Redondo Beach Beauty College,720900.0,,,,-118.372137,33.873098,,
Fredrick and Charles Beauty College,2230900.0,,,,-124.164986,40.798885,,
Gemological Institute of America-Carlsbad,2231900.0,,,,-117.318765,33.131313,,
Glendale Career College,2338500.0,,,,-118.254719,34.149771,,
Salon Success Academy-Riverside,2211000.0,,,,-117.391024,33.943149,,
Hilltop Beauty School,2285100.0,,,,-122.461467,37.705502,,
Pacifica Graduate Institute,3126800.0,,,,-119.580414,34.420881,,
Humphreys University-Stockton and Modesto Campuses,121200.0,,,21249.0,-121.316918,38.011489,,
Interior Designers Institute,2520300.0,,,,-117.865722,33.641393,,
International School of Cosmetology,2255400.0,,,,-118.361176,34.080053,,
Bellus Academy-El Cajon,1202600.0,,,,-116.94627,32.794072,,
Laguna College of Art and Design,2330500.0,0.8292,,50805.0,-117.772564,33.561448,,
Lancaster Beauty School,1301000.0,,,,-118.147547,34.694914,,
Life Chiropractic College West,2228500.0,,,,-122.117619,37.638099,,
Southern California Seminary,3332300.0,,,,-116.905461,32.799614,,
Los Angeles County College of Nursing and Allied Health,616500.0,,,,-118.211852,34.062647,,
Lu Ross Academy,1186600.0,,,,-119.293952,34.278034,,
Lyle's College of Beauty,714201.0,,,,-119.02387,35.386539,,
Lyle's College of  Beauty,714200.0,,,,-119.774167,36.836265,,
Lytles Redwood Empire Beauty College,1324000.0,,,,-122.75777,38.508385,,
Marymount California University,1047400.0,,,51791.0,-118.333371,33.734887,,
Menlo College,123600.0,0.6451,,62162.0,-122.190797,37.453475,,
Modern Beauty Academy,720400.0,,,,-119.181423,34.195384,,
Moler Barber College,2185800.0,,,,-122.265352,37.827075,,
Mt San Jacinto Community College District,124600.0,,,12865.0,-116.971169,33.806748,,
National Holistic Institute,2542300.0,,,,-122.287672,37.841898,,
Newschool of Architecture and Design,3043900.0,0.9625,,50284.0,-117.153305,32.71331,,
Newberry School of Beauty,713000.0,,,,-118.499693,34.256683,,
North Adrian's College of Beauty Inc,718700.0,,,,-120.992753,37.677778,,
North-West College-Pomona,1287200.0,,,,-117.751227,34.062043,,
North-West College-West Covina,1170700.0,,,,-117.949583,34.072071,,
North-West College-Van Nuys,2591600.0,,,,-118.450184,34.189497,,
San Francisco Bay University,,0.5714,,,-121.925953,37.477991,,
Otis College of Art and Design,125100.0,0.8032,,66695.0,-118.416615,33.956607,,
Concorde Career College-San Diego,793000.0,0.9384,,,-117.102845,32.702814,,
Pitzer College,117200.0,0.1657,,75850.0,-117.706675,34.104107,,
Professional Institute of Beauty,1298400.0,,,,-118.039028,34.075561,,
