School,City,StateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude
Concorde Career Institute-Miramar,Miramar,FL,2275100.0,0.9389,,,-80.291516,25.977088
Concorde Career Institute-Tampa,Tampa,FL,2172700.0,0.9436,,,-82.514341,27.959148
AdventHealth University,Orlando,FL,3115500.0,0.9087,1089.0,33648.0,-81.367687,28.576142
Florida Institute of Technology,Melbourne,FL,146900.0,0.7085,1241.0,59433.0,-80.622893,28.065815
Florida Institute of Ultrasound Inc,Pensacola,FL,2329900.0,,,,-87.220895,30.524582
Florida International University,Miami,FL,963500.0,0.5788,1190.0,19384.0,-80.373928,25.75732
The College of the Florida Keys,Key West,FL,148500.0,,,21064.0,-81.74446,24.582748
Florida Memorial University,Miami Gardens,FL,148600.0,0.3841,,28157.0,-80.270753,25.918278
Florida Career College-Miami,Miami,FL,2305800.0,,,,-80.36778,25.756567
Florida School of Massage,Gainesville,FL,4129900.0,,,,-82.338273,29.593428
Florida Southern College,Lakeland,FL,148800.0,0.5037,1230.0,52794.0,-81.948203,28.032443
Florida State University,Tallahassee,FL,148900.0,0.3245,1308.0,22278.0,-84.291921,30.440756
University of Florida,Gainesville,FL,153500.0,0.3199,1381.0,21151.0,-82.347911,29.64629
Fort Pierce Beauty Academy,Fort Pierce,FL,2338400.0,,,,-80.325377,27.411962
Full Sail University,Winter Park,FL,2362100.0,,,35865.0,-81.301286,28.596546
George Stone Technical College,Pensacola,FL,2307400.0,,,,-87.290659,30.487547
George T Baker Aviation Technical College,Miami,FL,3079800.0,,,,-80.263591,25.804092
Gulf Coast State College,Panama City,FL,149000.0,,,11258.0,-85.727918,30.185542
Key College,Fort Lauderdale,FL,2325100.0,,,15356.0,-80.114462,26.13887
Hillsborough Community College,Tampa,FL,787000.0,,,9288.0,-82.456253,27.934888
Hobe Sound Bible College,Hobe Sound,FL,2188900.0,,,14488.0,-80.13184,27.066304
Hollywood Institute of Beauty Careers,Hollywood,FL,4162500.0,,,,-80.209125,26.007139
Cortiva Institute,St. Petersburg,FL,2279600.0,,,,-82.680031,27.793547
Indian River State College,Fort Pierce,FL,149300.0,,,10266.0,-80.358682,27.42416
International Academy,South Daytona,FL,2257900.0,,,,-80.997811,29.162159
AI Miami International University of Art and Design,Miami,FL,887800.0,,,27974.0,-80.18839,25.790008
Jacksonville University,Jacksonville,FL,149500.0,0.7774,1115.0,54991.0,-81.60458,30.353227
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,2151900.0,0.972,,40713.0,-80.163959,26.185869
La Belle Beauty School,Hialeah,FL,2287100.0,,,,-80.312711,25.86695
Florida Gateway College,Lake City,FL,150100.0,,,9789.0,-82.5679,30.175298
Lake Technical College,Eustis,FL,2228300.0,,,,-81.690874,28.833446
Lake-Sumter State College,Leesburg,FL,150200.0,,,10998.0,-81.797193,28.828649
Fort Myers Technical College,Fort Myers,FL,755800.0,,,,-81.836596,26.647517
Lively Technical College,Tallahassee,FL,558500.0,,,,-84.339057,30.448534
Lindsey Hopkins Technical College,Miami,FL,558600.0,,,,-80.208154,25.794676
Loraines Academy & Spa,Saint Petersburg,FL,1016100.0,,,,-82.713964,27.783077
Luther Rice College & Seminary,Lithonia,GA,3100900.0,0.4444,,,-84.123179,33.698126
State College of Florida-Manatee-Sarasota,Bradenton,FL,150400.0,,,18367.0,-82.590887,27.43804
Manatee Technical College,Bradenton,FL,561200.0,,,,-82.481088,27.447894
Traviss Technical College,Lakeland,FL,560800.0,,,12676.0,-81.892381,27.995822
Merryfield School of Pet Grooming,Oakland Park,FL,4227500.0,,,,-80.129991,26.19044
Trinity International University-Florida,Miami,FL,177201.0,0.8592,1079.0,,-80.417646,25.68307
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,2316200.0,,,,-80.29513,25.916128
Miami Dade College,Miami,FL,150600.0,,,11345.0,-80.190856,25.777717
University of Miami,Coral Gables,FL,153600.0,0.3309,1354.0,69563.0,-80.278662,25.72126
Orange Technical College-Mid Florida Campus,Orlando,FL,2501500.0,,,,-81.415996,28.471695
Paul Mitchell the School-Jacksonville,Jacksonville,FL,2149900.0,,,,-81.527515,30.259433
North Florida College,Madison,FL,150800.0,,,9001.0,-83.420732,30.473841
University of North Florida,Jacksonville,FL,984100.0,0.7992,1144.0,19469.0,-81.509144,30.27194
Nova Southeastern University,Fort Lauderdale,FL,150900.0,0.7624,1145.0,50429.0,-80.24248,26.079337
Northwest Florida State College,Niceville,FL,151000.0,,,12351.0,-86.47456,30.540017
Orange Technical College-Orlando Campus,Orlando,FL,2513200.0,,,,-81.383783,28.550422
Palm Beach Atlantic University,West Palm Beach,FL,884900.0,0.9171,1127.0,49839.0,-80.05247,26.7044
Palm Beach State College,Lake Worth,FL,151200.0,,,16053.0,-80.08653,26.61256
Pasco-Hernando State College,New Port Richey,FL,1065200.0,,,10934.0,-82.646727,28.2751
Pensacola State College,Pensacola,FL,151300.0,,,9421.0,-87.200265,30.479267
Pinellas Technical College-Clearwater,Clearwater,FL,560500.0,,,,-82.719064,27.911922
Polk State College,Winter Haven,FL,151400.0,,,13931.0,-81.711873,28.032411
Radford M Locklin Technical College,Milton,FL,2554200.0,,,,-87.09971,30.648077
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,822300.0,,,,-80.125185,26.516538
Ridge Technical College,Winter Haven,FL,2511700.0,,,27493.0,-81.654463,28.076632
Ringling College of Art and Design,Sarasota,FL,1257400.0,0.6851,,69060.0,-82.547803,27.360931
Robert Morgan Educational Center and Technical College,Miami,FL,2524200.0,,,,-80.390054,25.599247
Rollins College,Winter Park,FL,151500.0,0.6081,,66805.0,-81.349239,28.592787
First Coast Technical College,Saint Augustine,FL,1254400.0,,,,-81.345829,29.924377
Saint Leo University,Saint Leo,FL,152600.0,0.73,,38890.0,-82.257801,28.336776
St Petersburg College,St. Petersburg,FL,152800.0,,,11834.0,-82.717331,27.90242
Pinellas Technical College-St. Petersburg,Saint Petersburg,FL,2115300.0,,,,-82.681534,27.761183
Santa Fe College,Gainesville,FL,151900.0,,,13888.0,-82.433143,29.681037
Suncoast Technical College,Sarasota,FL,560700.0,,,,-82.500827,27.285486
Seminole State College of Florida,Sanford,FL,152000.0,,,13075.0,-81.308003,28.745482
Sheridan Technical College,Hollywood,FL,990200.0,,,,-80.198024,26.031736
St. John Vianney College Seminary,Miami,FL,807500.0,0.9231,,40000.0,-80.337411,25.742579
Saint Johns River State College,Palatka,FL,152300.0,,,10917.0,-81.681387,29.647516
South Florida State College,Avon Park,FL,152200.0,,,10057.0,-81.508667,27.56974
University of South Florida,Tampa,FL,153700.0,0.4924,1256.0,21134.0,-82.413232,28.061458
St. Thomas University,Miami Gardens,FL,146800.0,0.5962,1004.0,46539.0,-80.253273,25.922071
Stetson University,DeLand,FL,153100.0,0.8149,,63006.0,-81.300746,29.035475
Southeastern University,Lakeland,FL,152100.0,0.4266,1081.0,39276.0,-81.918382,28.029733
Bene's Career Academy,New Port Richey,FL,3018500.0,,,,-82.728584,28.259612
Riveroak Technical College,Live Oak,FL,752500.0,,,,-82.992512,30.281999
Tallahassee Community College,Tallahassee,FL,153300.0,,,9290.0,-84.339,30.443866
Talmudic College of Florida,Miami Beach,FL,2508900.0,,,26650.0,-80.136293,25.811996
Altierus Career College-Tampa,Tampa,FL,149900.0,,,27474.0,-82.497616,27.996582
The University of Tampa,Tampa,FL,153800.0,0.5551,1174.0,46341.0,-82.46483,27.948455
Big Bend Technical College,Perry,FL,3100800.0,,,,-83.565783,30.077954
Tom P. Haney Technical College,Panama City,FL,1082600.0,,,,-85.646585,30.203363
Trinity Baptist College,Jacksonville,FL,3101900.0,0.6748,1006.0,22571.0,-81.79626,30.311171
Trinity College of Florida,Trinity,FL,3028200.0,0.5048,957.0,25963.0,-82.678318,28.194732
Valencia College,Orlando,FL,675000.0,,,10735.0,-81.471466,28.520898
Warner University,Lake Wales,FL,884800.0,0.5412,,34297.0,-81.599972,27.825751
Florida Panhandle Technical College,Chipley,FL,752600.0,,,,-85.553345,30.77449
Webber International University,Babson Park,FL,154000.0,0.474,951.0,42702.0,-81.532315,27.838778
Rasmussen University-Florida,Ocala,FL,869410.0,,,23396.0,-82.197343,29.140099
The University of West Florida,Pensacola,FL,395500.0,0.5756,1168.0,17716.0,-87.218511,30.549076
Orange Technical College-Westside Campus,Winter Garden,FL,2321200.0,,,,-81.571532,28.559574
William T McFatter Technical College,Davie,FL,3003600.0,,,,-80.232201,26.085022
Orange Technical College-Winter Park Campus,Winter Park,FL,2504600.0,,,,-81.36174,28.604386
Withlacoochee Technical College,Inverness,FL,2300900.0,,,,-82.345563,28.834861
Abraham Baldwin Agricultural College,Tifton,GA,154100.0,0.7599,1000.0,13361.0,-83.528281,31.481889
Agnes Scott College,Decatur,GA,154200.0,0.6752,,55403.0,-84.295459,33.769268
Interactive College of Technology-Chamblee,Chamblee,GA,2284300.0,,,19124.0,-84.303159,33.887956
Interactive College of Technology-Morrow,Morrow,GA,2284308.0,,,19192.0,-84.336098,33.57233
Albany Technical College,Albany,GA,560100.0,,,8609.0,-84.174284,31.55434
Albany State University,Albany,GA,154400.0,0.7302,858.0,19309.0,-84.141825,31.56928
Andrew College,Cuthbert,GA,154500.0,0.5864,993.0,34282.0,-84.795021,31.772321
The Art Institute of Atlanta,Atlanta,GA,927000.0,,,32980.0,-84.355252,33.936024
Georgia Career Institute,Conyers,GA,3005400.0,,,,-84.018321,33.64336
Atlanta Technical College,Atlanta,GA,854300.0,,,9429.0,-84.404995,33.712009
Point University,West Point,GA,154700.0,0.3487,1007.0,34160.0,-85.184931,32.87912
Atlanta Metropolitan State College,Atlanta,GA,1216500.0,,,12927.0,-84.404659,33.70893
Atlanta's John Marshall Law School,Atlanta,GA,3173300.0,,,,-84.387898,33.793394
Atlanta School of Massage,Atlanta,GA,2580200.0,,,,-84.311332,33.922131
Clark Atlanta University,Atlanta,GA,155900.0,0.5905,974.0,39194.0,-84.412584,33.747628
Augusta Technical College,Augusta,GA,559900.0,,,17614.0,-82.048439,33.418992
Berry College,Mount Berry,GA,155400.0,0.7722,,52966.0,-85.189202,34.290414
Beulah Heights University,Atlanta,GA,3076300.0,,,11650.0,-84.35768,33.736993
Brenau University,Gainesville,GA,155600.0,0.9219,1047.0,44094.0,-83.821513,34.303117
Brewton-Parker College,Mount Vernon,GA,155700.0,0.9814,,31902.0,-82.586136,32.185718
College of Coastal Georgia,Brunswick,GA,155800.0,0.9594,1006.0,18200.0,-81.485973,31.182745
West Georgia Technical College,Waco,GA,1048700.0,,,10042.0,-85.183666,33.691657
Clayton  State University,Morrow,GA,897600.0,0.6854,,18374.0,-84.328174,33.594079
Columbia Theological Seminary,Decatur,GA,156000.0,,,,-84.281695,33.764292
Columbus Technical College,Columbus,GA,562400.0,,,12259.0,-84.978551,32.508076
Columbus State University,Columbus,GA,156100.0,0.7832,1007.0,19807.0,-84.94106,32.50096
Georgia Northwestern Technical College,Rome,GA,402400.0,,,10980.0,-85.171361,34.224673
Covenant College,Lookout Mountain,GA,348400.0,0.9755,1209.0,49420.0,-85.375066,34.965161
Dalton State College,Dalton,GA,395600.0,,,11526.0,-85.002775,34.774221
Pro Way Hair School,Stone Mountain,GA,1205100.0,,,,-84.205183,33.801802
South University-Savannah,Savannah,GA,1303900.0,,,30800.0,-81.105435,31.999571
East Georgia State College,Swainsboro,GA,1099700.0,,,14618.0,-82.309021,32.594944
Emmanuel College,Franklin Springs,GA,156300.0,0.5275,1005.0,31589.0,-83.14822,34.283641
Emory University,Atlanta,GA,156400.0,0.2103,1454.0,72604.0,-84.325512,33.790183
Georgia Highlands College,Rome,GA,950700.0,,,11974.0,-85.207356,34.169791
Fort Valley State University,Fort Valley,GA,156600.0,0.7232,,20264.0,-83.89537,32.537595
Grady Health System Professional Schools,Atlanta,GA,411700.0,,,,-84.381561,33.751852
Georgia Institute of Technology-Main Campus,Atlanta,GA,156900.0,0.2134,1465.0,29291.0,-84.394832,33.77242
Georgia Southwestern State University,Americus,GA,157300.0,0.734,1040.0,19125.0,-84.217738,32.054662
Georgia College & State University,Milledgeville,GA,160200.0,0.8594,1194.0,28707.0,-83.231962,33.082787
Georgia Southern University,Statesboro,GA,157200.0,0.9117,1083.0,22608.0,-81.784045,32.426153
Georgia State University,Atlanta,GA,157400.0,0.8094,1147.0,27206.0,-84.38667,33.7527
University of Georgia,Athens,GA,159800.0,0.4838,1384.0,27329.0,-83.374039,33.956262
Gordon State College,Barnesville,GA,157500.0,0.7878,986.0,15024.0,-84.154508,33.04571
Southern Crescent Technical College,Griffin,GA,562100.0,,,14629.0,-84.291662,33.255438
Gupton Jones College of Funeral Service,Decatur,GA,1077100.0,,,20737.0,-84.179775,33.710709
Gwinnett College-Lilburn,Lilburn,GA,2583000.0,,,26646.0,-84.121874,33.901271
Gwinnett Technical College,Lawrenceville,GA,2288400.0,,,19125.0,-84.066224,33.962763
Interdenominational Theological Center,Atlanta,GA,156800.0,,,,-84.409207,33.752338
LaGrange College,Lagrange,GA,157800.0,0.5967,1077.0,46034.0,-85.043113,33.038564
Lanier Technical College,Gainesville,GA,525400.0,,,13171.0,-83.778107,34.330323
Life University,Marietta,GA,2074800.0,0.9681,1003.0,37684.0,-84.514729,33.932781
Chattahoochee Technical College,Marietta,GA,562000.0,,,11361.0,-84.553722,33.929092
Herzing University-Atlanta,Atlanta,GA,962106.0,0.9201,,29587.0,-84.387251,33.754218
Mercer University,Macon,GA,158000.0,0.7816,1285.0,52940.0,-83.648295,32.831787
Morehouse College,Atlanta,GA,158200.0,0.7707,,48802.0,-84.414917,33.745982
Morehouse School of Medicine,Atlanta,GA,2482100.0,,,,-84.41186,33.742888
North Georgia Technical College,Clarkesville,GA,561900.0,,,11328.0,-83.530118,34.639721
Oglethorpe University,Atlanta,GA,158600.0,0.6693,1203.0,55451.0,-84.333687,33.875441
Paine College,Augusta,GA,158700.0,0.7499,899.0,26534.0,-81.993225,33.469545
Piedmont University,Demorest,GA,158800.0,0.7008,1085.0,40949.0,-83.542126,34.566042
Miami Ad School-Atlanta,Atlanta,GA,3125604.0,,,,-84.396182,33.812116
Reinhardt University,Waleska,GA,158900.0,0.9869,1073.0,39983.0,-84.554264,34.319756
Savannah Technical College,Savannah,GA,561800.0,,,12978.0,-81.114753,32.023211
Savannah College of Art and Design,Savannah,GA,2141500.0,0.7792,,58367.0,-81.093849,32.072963
Savannah State University,Savannah,GA,159000.0,0.4614,925.0,16819.0,-81.063377,32.024781
Shorter University,Rome,GA,159100.0,0.7093,1071.0,34403.0,-85.196529,34.257543
South Georgia Technical College,Americus,GA,561700.0,,,11576.0,-84.188321,32.116663
The Creative Circus,Atlanta,GA,2285500.0,,,,-84.361989,33.813156
Spelman College,Atlanta,GA,159400.0,0.5258,1129.0,54163.0,-84.411527,33.745279
Thomas University,Thomasville,GA,155500.0,0.3452,881.0,27354.0,-83.963587,30.815576
Toccoa Falls College,Toccoa Falls,GA,159600.0,0.5773,,37297.0,-83.357617,34.593414
Truett McConnell University,Cleveland,GA,159700.0,0.9729,1052.0,33299.0,-83.748911,34.596306
Wiregrass Georgia Technical College,Valdosta,GA,525600.0,,,11201.0,-83.35381,30.889221
Valdosta State University,Valdosta,GA,159900.0,0.7845,1072.0,20998.0,-83.289282,30.847402
Wesleyan College,Macon,GA,160000.0,0.5981,1052.0,34952.0,-83.715417,32.876037
University of West Georgia,Carrollton,GA,160100.0,0.7762,1012.0,23684.0,-85.097762,33.573621
Young Harris College,Young Harris,GA,160400.0,0.6503,1065.0,44203.0,-83.84587,34.933523
Chaminade University of Honolulu,Honolulu,HI,160500.0,0.8897,1056.0,38649.0,-157.807851,21.28995
University of Hawaii at Hilo,Hilo,HI,161100.0,0.7383,1046.0,20440.0,-155.080847,19.701189
University of Hawaii at Manoa,Honolulu,HI,161000.0,0.8369,1181.0,23405.0,-157.818979,21.298598
Hawaii Institute of Hair Design,Honolulu,HI,2139500.0,,,,-157.861609,21.31146
Hawaii Pacific University,Honolulu,HI,727900.0,0.814,1067.0,47698.0,-157.859645,21.310306
Honolulu Community College,Honolulu,HI,161200.0,,,13226.0,-157.87,21.321785
Kapiolani Community College,Honolulu,HI,161300.0,,,11912.0,-157.800213,21.27148
Kauai Community College,Lihue,HI,161400.0,,,13897.0,-159.395883,21.968887
Leeward Community College,Pearl City,HI,454900.0,,,13392.0,-157.983771,21.39267
University of Hawaii Maui College,Kahului,HI,161500.0,,,16868.0,-156.477252,20.88956
University of Hawaii-West Oahu,Kapolei,HI,2107800.0,0.9523,1012.0,19914.0,-158.056403,21.35531
Windward Community College,Kaneohe,HI,1122000.0,,,16556.0,-157.813307,21.407051
Carrington College-Boise,Boise,ID,2218000.0,,,,-116.260675,43.615295
Boise Bible College,Boise,ID,2234500.0,0.9038,988.0,24258.0,-116.291321,43.658651
Boise State University,Boise,ID,161600.0,0.7749,1135.0,21621.0,-116.203301,43.604284
College of Eastern Idaho,Idaho Falls,ID,1113300.0,,,12309.0,-111.985519,43.486041
Idaho State University,Pocatello,ID,162000.0,,,20652.0,-112.432312,42.863832
University of Idaho,Moscow,ID,162600.0,0.7444,1116.0,21525.0,-117.014167,46.727406
The College of Idaho,Caldwell,ID,161700.0,0.4835,1153.0,45607.0,-116.677992,43.652284
Lewis-Clark State College,Lewiston,ID,162100.0,0.9975,998.0,16922.0,-117.024875,46.412199
Aveda Institute-Twin Falls,Twin Falls,ID,987300.0,,,,-114.461545,42.593567
Mr Leon's School of Hair Design-Moscow,Moscow,ID,2275800.0,,,,-117.001162,46.729532
North Idaho College,Coeur d'Alene,ID,162300.0,,,12203.0,-116.798905,47.67569
Northwest Nazarene University,Nampa,ID,162400.0,0.7683,1098.0,42068.0,-116.565783,43.562411
Nathan Layne Institute of Cosmetology,Chubbuck,ID,2314000.0,,,,-112.464554,42.919964
Brigham Young University-Idaho,Rexburg,ID,162500.0,0.9701,1132.0,12381.0,-111.782431,43.818408
College of Southern Idaho,Twin Falls,ID,161900.0,,,11990.0,-114.473901,42.579837
Adler University,Chicago,IL,2068100.0,,,,-87.629156,41.882414
American Academy of Art College,Chicago,IL,162800.0,,,41648.0,-87.624788,41.87742
American Islamic College,Chicago,IL,2311300.0,,,,-87.646898,41.954969
School of the Art Institute of Chicago,Chicago,IL,175300.0,0.7778,1161.0,68575.0,-87.625758,41.88105
Augustana College,Rock Island,IL,163300.0,0.5735,,55924.0,-90.55057,41.502365
Aurora University,Aurora,IL,163400.0,0.8395,1066.0,35658.0,-88.349023,41.753631
Southwestern Illinois College,Belleville,IL,163600.0,,,11621.0,-89.924466,38.516406
Bethany Theological Seminary,Richmond,IN,163700.0,,,,-84.910689,39.826244
Black Hawk College,Moline,IL,163800.0,,,11625.0,-90.447799,41.477283
Blackburn College,Carlinville,IL,163900.0,0.5518,1006.0,32584.0,-89.870241,39.287896
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,621400.0,,,,-91.357497,39.949641
Blessing Hospital School of Radiologic Technology,Quincy,IL,621402.0,,,,-91.391542,39.935084
Bradley University,Peoria,IL,164100.0,0.7328,1196.0,48295.0,-89.616786,40.696896
Paul Mitchell the School-Bradley,Bourbonnais,IL,3065300.0,,,,-87.847099,41.172891
Cameo Beauty Academy,Oak Lawn,IL,3078400.0,,,,-87.740894,41.716051
Cannella School of Hair Design-Villa Park,Villa Park,IL,2202600.0,,,,-87.994628,41.90417
Cannella School of Hair Design-Chicago,Chicago,IL,959500.0,,,,-87.551622,41.731381
Cannella School of Hair Design-Chicago,Chicago,IL,2349500.0,,,,-87.701198,41.815763
Capri Beauty College,Oak Forest,IL,1308800.0,,,,-87.771567,41.603863
Carl Sandburg College,Galesburg,IL,726500.0,,,10663.0,-90.408203,40.98128
Catholic Theological Union at Chicago,Chicago,IL,923200.0,,,,-87.585989,41.797895
Midwestern University-Downers Grove,Downers Grove,IL,165700.0,,,,-87.998342,41.828115
The Chicago School of Professional Psychology at Chicago,Chicago,IL,2155307.0,0.101,,,-87.63379,41.888293
Chicago State University,Chicago,IL,169400.0,0.4642,887.0,21867.0,-87.609384,41.718446
Chicago Theological Seminary,Chicago,IL,166100.0,,,,-87.591178,41.785701
University of Chicago,Chicago,IL,177400.0,0.0731,1537.0,81531.0,-87.599539,41.787994
City Colleges of Chicago-Kennedy-King College,Chicago,IL,165400.0,,,10390.0,-87.643425,41.780253
City Colleges of Chicago-Malcolm X College,Chicago,IL,165000.0,,,9137.0,-87.675321,41.878092
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,976700.0,,,10070.0,-87.589249,41.709997
City Colleges of Chicago-Harry S Truman College,Chicago,IL,164800.0,,,9391.0,-87.659107,41.964502
City Colleges of Chicago-Richard J Daley College,Chicago,IL,164900.0,,,8423.0,-87.723981,41.755955
City Colleges of Chicago-Harold Washington College,Chicago,IL,165200.0,,,8454.0,-87.626596,41.886067
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,165500.0,,,8174.0,-87.787868,41.958774
Columbia College Chicago,Chicago,IL,166500.0,0.8953,,45103.0,-87.624667,41.874261
Concordia University-Chicago,River Forest,IL,166600.0,0.7854,1099.0,42750.0,-87.809482,41.898696
Coyne College,Chicago,IL,754900.0,,,,-87.627413,41.882558
Danville Area Community College,Danville,IL,166900.0,,,9948.0,-87.587884,40.127539
Tricoci University of Beauty Culture,Urbana,IL,2317300.0,,,,-87.636314,40.075809
DePaul University,Chicago,IL,167100.0,0.7024,,57122.0,-87.62724,41.877618
Cosmetology & Spa Academy,Crystal Lake,IL,2150600.0,,,,-88.294087,42.24918
College of DuPage,Glen Ellyn,IL,665600.0,,,12606.0,-88.071635,41.841577
East-West University,Chicago,IL,2168600.0,,,29370.0,-87.624793,41.871309
Eastern Illinois University,Charleston,IL,167400.0,0.5554,1058.0,24125.0,-88.175658,39.479843
Elgin Community College,Elgin,IL,167500.0,,,8729.0,-88.32194,42.018066
Elmhurst University,Elmhurst,IL,167600.0,0.6553,1096.0,48429.0,-87.945369,41.897164
Eureka College,Eureka,IL,167800.0,0.6136,1026.0,37986.0,-89.269624,40.71482
First Institute of Travel Inc.,Crystal Lake,IL,2584900.0,,,,-88.339468,42.21926
Fox College,Tinley Park,IL,2522800.0,0.5,,21434.0,-87.744728,41.771488
Garrett-Evangelical Theological Seminary,Evanston,IL,168200.0,,,,-87.675497,42.056221
Gem City College,Quincy,IL,456000.0,,,,-91.404218,39.926394
Governors State University,University Park,IL,914500.0,0.4784,956.0,21549.0,-87.716441,41.449103
Graham Hospital School of Nursing,Canton,IL,893800.0,0.8889,1435.0,18732.0,-90.038776,40.552962
Greenville University,Greenville,IL,168400.0,0.5921,1014.0,40959.0,-89.40824,38.894162
G Skin & Beauty Institute,Schaumburg,IL,2261200.0,,,,-88.083218,42.061983
Hair Professionals Career College,Sycamore,IL,2332200.0,,,,-88.718145,41.962221
Hair Professionals School of Cosmetology,Oswego,IL,2262100.0,,,,-88.364727,41.682591
Hebrew Theological College,Skokie,IL,168500.0,0.8333,,28145.0,-87.760874,42.010103
Highland Community College,Freeport,IL,168100.0,,,11969.0,-89.67342,42.283344
Rosalind Franklin University of Medicine and Science,North Chicago,IL,165900.0,,,,-87.859632,42.300069
University of Illinois Chicago,Chicago,IL,177600.0,0.7263,1159.0,25831.0,-87.650503,41.871837
Benedictine University,Lisle,IL,176700.0,0.6099,1097.0,46006.0,-88.097307,41.777569
Illinois College of Optometry,Chicago,IL,168900.0,,,,-87.623016,41.835447
University of Illinois Urbana-Champaign,Champaign,IL,177500.0,0.633,1352.0,30302.0,-88.229114,40.104718
Illinois Wesleyan University,Bloomington,IL,169600.0,0.5693,1233.0,63174.0,-88.992014,40.489901
Illinois Central College,East Peoria,IL,675300.0,,,14596.0,-89.52485,40.707235
Illinois College,Jacksonville,IL,168800.0,0.7524,,44465.0,-90.246171,39.7313
Olney Central College,Olney,IL,174200.0,,,12940.0,-88.099589,38.735913
Illinois Institute of Technology,Chicago,IL,169100.0,0.6066,1311.0,64710.0,-87.627321,41.8313
Illinois State University,Normal,IL,169200.0,0.8131,1140.0,31124.0,-88.990058,40.509403
Illinois Valley Community College,Oglesby,IL,170500.0,,,11014.0,-89.100887,41.30744
Institute for Clinical Social Work,Chicago,IL,2573700.0,,,,-87.662806,41.972414
John A Logan College,Carterville,IL,807600.0,,,11409.0,-89.09021,37.747453
John Wood Community College,Quincy,IL,1281300.0,,,11893.0,-91.335828,39.913741
Joliet Junior College,Joliet,IL,169900.0,,,9220.0,-88.180985,41.500535
Judson University,Elgin,IL,170000.0,0.5701,1020.0,40737.0,-88.291336,42.061754
Kankakee Community College,Kankakee,IL,769000.0,,,11443.0,-87.851047,41.098178
Kaskaskia College,Centralia,IL,170100.0,,,11417.0,-89.191974,38.562112
Kishwaukee College,Malta,IL,768400.0,,,12526.0,-88.880524,41.938234
Knox College,Galesburg,IL,170400.0,0.7084,1229.0,60393.0,-90.373165,40.943064
Educators of Beauty College of Cosmetology-Peru,PERU,IL,947500.0,,,,-89.118454,41.354338
College of Lake County,Grayslake,IL,769400.0,,,9387.0,-88.012291,42.354164
Lake Forest College,Lake Forest,IL,170600.0,0.5761,,62405.0,-87.827454,42.249574
Lake Forest Graduate School of Management,Lake Forest,IL,2319200.0,,,,-87.893204,42.243432
Lake Land College,Mattoon,IL,764400.0,,,10140.0,-88.380835,39.416969
Lakeview College of Nursing,Danville,IL,1050100.0,,,,-87.644379,40.13855
Lewis and Clark Community College,Godfrey,IL,1002000.0,,,9113.0,-90.194405,38.951624
Lewis University,Romeoville,IL,170700.0,0.6606,1139.0,43255.0,-88.079032,41.605432
Lincoln Christian University,Lincoln,IL,170800.0,,,27166.0,-89.346721,40.148924
Lincoln College,Lincoln,IL,170900.0,0.6985,,31844.0,-89.36153,40.155442
Lincoln Land Community College,Springfield,IL,717000.0,,,11100.0,-89.611249,39.721211
Lincoln College of Technology-Melrose Park,Melrose Park,IL,730307.0,,,,-87.832162,41.905577
Loyola University Chicago,Chicago,IL,171000.0,0.7054,1261.0,60717.0,-87.656872,42.000765
Lutheran School of Theology at Chicago,Chicago,IL,171200.0,,,,-87.598978,41.79563
Trinity College of Nursing & Health Sciences,Rock Island,IL,622500.0,,,,-90.568862,41.484924
Steven Papageorge Hair Academy,Chicago,IL,2228100.0,,,,-87.657152,41.939685
MacCormac College,Chicago,IL,171600.0,,,22360.0,-87.626657,41.881898
McCormick Theological Seminary,Chicago,IL,172100.0,,,,-87.598511,41.79597
McHenry County College,Crystal Lake,IL,769100.0,,,12214.0,-88.368956,42.259111
McKendree University,Lebanon,IL,172200.0,0.7008,1107.0,44383.0,-89.816822,38.608154
Meadville Theological School of Lombard College,Chicago,IL,172300.0,,,,-87.624619,41.874027
Methodist College,Peoria,IL,622800.0,0.875,1000.0,30504.0,-89.682864,40.7804
Millikin University,Decatur,IL,172400.0,0.7115,1097.0,49304.0,-88.976298,39.842612
Monmouth College,Monmouth,IL,172500.0,0.6943,1163.0,51176.0,-90.63731,40.914824
Moody Bible Institute,Chicago,IL,172700.0,0.9751,,29460.0,-87.633459,41.897822
Moraine Valley Community College,Palos Hills,IL,769200.0,,,10386.0,-87.836915,41.694613
Morrison Institute of Technology,Morrison,IL,888000.0,,,26614.0,-89.965963,41.7971
Morton College,Cicero,IL,172800.0,,,12695.0,-87.762306,41.824303
National Louis University,Chicago,IL,173300.0,0.9746,,23675.0,-87.624699,41.880093
National University of Health Sciences,Lombard,IL,173200.0,,,,-88.013171,41.861697
Cosmetology Concepts Niles,Niles,IL,2556600.0,,,,-87.815113,42.027601
North Central College,Naperville,IL,173400.0,0.5329,1164.0,52405.0,-88.14279,41.77576
North Park University,Chicago,IL,173500.0,0.4396,1055.0,39373.0,-87.709948,41.975268
