School,City,StateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude
Arizona Western College,Yuma,AZ,107100.0,,,15171.0,-114.495968,32.689306
University of Arizona,Tucson,AZ,108300.0,0.8513,1220.0,27461.0,-110.950815,32.232672
Central Arizona College,Coolidge,AZ,728300.0,,,10699.0,-111.652501,32.957092
Charles of Italy Beauty College,Lake Havasu City,AZ,2280500.0,,,,-114.332686,34.477485
Cochise County Community College District,Sierra Vista,AZ,107200.0,,,11353.0,-110.246946,31.564597
Empire Beauty School-Chandler,Chandler,AZ,1054208.0,,,,-111.860423,33.347586
Avalon Institute-Mesa,Mesa,AZ,1085800.0,,,,-111.858305,33.376583
Eastern Arizona College,Thatcher,AZ,107300.0,,,14462.0,-109.76234,32.843664
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,147902.0,0.6254,1239.0,54536.0,-112.449741,34.616766
The School of Architecture,Paradise Valley,AZ,2533200.0,,,,-111.941953,33.566649
Glendale Community College,Glendale,AZ,107600.0,,,14471.0,-112.190735,33.570226
Grand Canyon University,Phoenix,AZ,107400.0,0.8069,,31376.0,-112.129929,33.513231
GateWay Community College,Phoenix,AZ,830300.0,,,15328.0,-111.997077,33.449686
Mesa Community College,Mesa,AZ,107700.0,,,15405.0,-111.871255,33.390323
Mohave Community College,Kingman,AZ,1186400.0,,,12325.0,-114.029838,35.270996
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,2100500.0,,,,-112.121336,33.684428
Dine College,Tsaile,AZ,824600.0,,,13921.0,-109.21684,36.293328
Northern Arizona University,Flagstaff,AZ,108200.0,0.8164,,27969.0,-111.653724,35.188449
Northland Pioneer College,Holbrook,AZ,1186200.0,,,15589.0,-110.142199,34.93031
Ottawa University-Phoenix,Phoenix,AZ,193701.0,0.5389,1017.0,,-112.113001,33.572173
Phoenix College,Phoenix,AZ,107800.0,,,14974.0,-112.088293,33.481361
Pima Community College,Tucson,AZ,726600.0,,,8856.0,-110.886659,32.222125
Pima Medical Institute-Tucson,Tucson,AZ,2217100.0,,,,-110.878783,32.248067
Pima Medical Institute-Albuquerque,Albuquerque,NM,3678302.0,,,,-106.59488,35.104855
Prescott College,Prescott,AZ,2065300.0,0.9842,1141.0,43649.0,-112.477185,34.5452
Refrigeration School Inc,Phoenix,AZ,1168900.0,,,,-111.989357,33.448692
Rio Salado College,Tempe,AZ,2177500.0,,,13516.0,-111.97417,33.413309
Roberto-Venn School of Luthiery,Phoenix,AZ,2113800.0,,,,-112.086161,33.45489
